date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,hour,type_spec
22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"WHITE SHARK, 2.5 M","Africa News Agency, 4/22/2018",09,WHITE
19-Apr-2018,2018,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,6' SHARK,"The Garden Island, 4/19/2018",,
15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,JUVENILE BULL SHARK,"Straits Times, 4/16/2018",,BULL
15-Apr-2018,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",N,,NAN,"Globo, 4/16/2018",,
15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,NAN,"B.Myatt, GSAF",,
15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,NAN,"B.Myatt, GSAF",08,
14-Apr-2018,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,TIGER SHARK,"Tribune242,",09,TIGER
Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,SHARK INVOLVEMENT NOT CONFIRMED,"K. McMurray, TrackingSharks.com",,
09-Apr-2018,2018,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,,"No injury, shark bit board",N,17h00,2 M SHARK,"Les Nouvelles Caledoniennes, 4/10/2018",17,
05-Apr-2018,2018,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",Y,18h00,BULL SHARK,"K. McMurray, TrackingSharks.com",18,BULL
03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,Y,15h00,WHITE SHARK,"K. McMurray, TrackingSharks.com",15,WHITE
31-Mar-2018,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"TIGER SHARK, 12'","Khon2, 3/31/2018",09,TIGER
14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,WOBBEGONG SHARK,"B. Myatt, GSAF",17,WOBBEGONG
9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 M SHARK,"B. Myatt, GSAF",15,
9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 M SHARK,"B. Myatt, GSAF",07,
24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,BLACKTIP SHARK,"International Business Times, 3/1/2018",,BLACKTIP
23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","JUVENILE WHITE SHARK,  2.7 TO 3.2 M","B. Myatt, GSAF",19,WHITE
18-Feb-2018,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,NAN,"B. Myatt, GSAF",,
15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"BULL SHARK, 2 M","B. Myatt, GSAF",16,BULL
14-Feb-2018,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18h00,POSSIBLY A WOBBEGONG,"Sunshine Coast Daily, 2/15/2018",18,WOBBEGONG
11-Feb-2018,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,"INJURY BELIEVED CAUSED BY AN EEL, NOT A SHARK",TrackingSharks.com,,
03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,GALAPAGOS SHARK?,"The Standard (UK), 2/6/2018",,GALAPAGOS
01-Feb-2018,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2M SHARK,"The West Australian, 2/2/2018",,
28-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,N,08h00,BULL SHARK,"ABC.net.au, 01/28/2018",08,BULL
21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,40,Injuries to abdomen and arm,N,15h30,"BULL SHARK, 3 M ",TrackingSharks.com,15,BULL
14-Jan-2018,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,Y,15h01,GREY REEF SHARK. 2 M,"B. Myatt, GSAF",15,
13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"WHITE SHARK, 3.5 M","B. Myatt, GSAF",,WHITE
12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,Y,Late afternoon,SMALL SHARK,TrackingSharks.com,,
05-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,,WOBBEGONG SHARK?,"Perth Now, 1/6/2018",,WOBBEGONG
31-Dec-2017,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,Y,18h00,TIGER SHARK,"J. Howard, Surfling Now, 1/2/2018",18,TIGER
30-Dec-2017,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,NAN,R. Collier,12,
21-Dec-2017,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,JUVENILE NURSE SHARK,TrackingSharks.com,,NURSE
09-Dec-2017,2017,Unprovoked,BAHAMAS,,,Snorkeling,F,25,Minor injury to arm,N,,NURSE SHARK. 5',"Daily Star, 12/11/2017",,NURSE
30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,"TIGER SHARK, FEMALE",R. Arauz,,TIGER
30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,"TIGER SHARK, FEMALE",R. Arauz,,TIGER
Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,,,FATAL,Y,,SOME DROWNED BUT OTHER MAY HAVE BEEN KILLED BY BLUE SHARKS,"TG Com 24, 11/25/2017",,BLUE
24-Nov-2017,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"WHITE SHARK, 4.6 M","R. Collier, GSAF",13,WHITE
18-Nov-2017,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,NAN,"Florida Today, 11/21/2017",,
Reported 13-Nov-2017,2017,Unprovoked,,,,Surfing,M,24,Puncture wounds to feet,N,,NAN,Instagram,,
13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,Y,16h00,2 M SHARK,"B. Myatt, GSAF",16,
04-Nov-2017,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,TIGER SHARK,TrackingSharks.com,23,TIGER
Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,,Calf injured,N,,COOKIECUTTER SHARK,"Townsville Bulletin, 10/31/2017",,
28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"WOBBEGONG SHARK, 1 M","B. Myatt, GSAF",09,WOBBEGONG
26-Oct-2017,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,15h00,NAN,"Hawaii News Now, 10/27/2017",15,
23-Oct-2017,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,Afternoon,NAN,"J. LeBlanc, GSAF",,
23-Oct-2017,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,Y,17h00,NAN,"WPBF News, 10/24/2017",17,
23-Oct-2017,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,Y,08h00,NAN,"Palm Beach Post, 11/1/2017",08,
22-Oct-2017,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"WHITE SHARK, 4.5 M","Nine News, 10/22/2017",,WHITE
21-Oct-2017,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,09h00,2 M SHARK,"New Zealand Herald, 10/22/2017",09,
18-Oct-2017,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14h30,"SPINNER SHARK, 4 TO 5 FEET","WPTV, 10/19/2017",14,SPINNER
09-Oct-2017,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,Y,18h30,"TIGER SHARK, 8 TO 10 FEET","Hawaii News Now, 10/10/2017",18,TIGER
05-Oct-2017,2017,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' SHARK,"Maui Now, 10/5/2017",12,
01-Oct-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,Y,,DEATH MAY HAVE BEEN DUE TO DROWNING,"All Africa, 10/11/2017 ",,
25-Sep-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,Y,Morning,5' SHARK,"News4Jax, 9/26/2017",,
25-Sep-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18h00,"WHITE SHARK, 3.5 M","Stab Magazine, 9/26/2017",18,WHITE
24-Sep-2017,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",N,15h30,QUESTIONABLE,"S. Curatolo-Wageman, GSAF",15,
24-Sep-2017,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14h00,4' TO 5' SHARK,"Sun Sentinel, 9/24/2017",14,
20-Sep-2017,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,Y,Morning,NAN,"WPTV, 9/25/2017",,
16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,"PORBEAGLE, 1.5 M",Turismo La Aldea,,
16-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,Y,16h30,NAN,"Orlando Sentinel, 9/16/2017",16,
15-Sep-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",Y,Afternoon,NAN,"Ground Up, 9/20/2017",,
15-Sep-2017,2017,,SAMOA, Upolu Island,Nofoali’i,Fishing,M,,Injuries to hands and legs,N,Night,NAN,"Samoa Observer, 9/16/2017",,
Sep-2017,2017,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"WHITE SHARK, 3.5M","B. Myatt, GSAF",,WHITE
13-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,Y,18h45,5' TO 6' SHARK,"TrackingSharks.com, 10/22/2017",18,
10-Sep-2017,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15h00,NAN,"West Australian, 9/11/2017",15,
10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"WHITE SHARK, 3 TO 3.5M ","B. Myatt, GSAF",06,WHITE
Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Spearfishing,M,,Foot bitten,N,,NAN,BBC,,
03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,FATAL,Y,Morning,NAN,"All Africa, 10/11/2017",,
03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,NAN,"Japan Today, 9/4/2017",10,
02-Sep-2017,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,,NURSE SHARK,NewsFlare,,NURSE
02-Sep-2017,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,,NAN,"Brownsville Herald, 9/5/2017",,
02-Sep-2017,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,NAN,"Click Orlando, 9/2/2017",10,
29-Aug-2017,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"WHITE SHARK, 3 M","B. Myatt, GSAF",10,WHITE
27-Aug-2017,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,,Leg injured,N,13h19,NAN,"Sun Sentinel, 8/27/2017",13,
26-Aug-2017,2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,Y,Midday,SHARK INVOLVEMENT QUESTIONABLE,"El Periodico Mediterraneo, 8/27/2017",,
26-Aug-2017,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,,NAN,"C.Black, GSAF",,
23-Aug-2017,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10h00,"WHITE SHARK, 5' TO 7'","Cape Cod Times, 8/23/2017",10,WHITE
18-Aug-2017,2017,Unprovoked,BAHAMAS,,,Spearfishing,M,,Hand injured,N,15h00,5' SHARK,"CBS12, 8/18/2017",15,
10-Aug-2017,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,Y,13h30,POSSIBLY A JUVENILE BLACKTIP SHARK,"C. Creswell, GSAF",13,BLACKTIP
05-Aug-2017,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"OCEANIC WHITETIP SHARK, 1.8 TO 2 M","Egyptian government, 8/5/2017",,OCEANIC
03-Aug-2017,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' SHARK,"MassLive, 8/4/2017",23,
01-Aug-2017,2017,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,10h45,"WHITE SHARK, 10'","R. Collier, GSAF",10,WHITE
31-Jul-2017,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18h30,NAN,"K. McMurray, Tracking Sharks",18,
29-Jul-2017,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,N,15h00,A SMALL SHARK,"C. Creswell, GSAF",15,
29-Jul-2017,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,Y,Afternoon,NAN,"C. Creswell, GSAF",,
27-Jul-2017,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,,NAN,"R. Rolle, Tribune 242,  7/28/2017",,
Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,M,,Severe lacerations to left hand,Y,,NAN,"RevistaJaraysedal.es, 7/26/2017",,
24-Jul-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,NAN,"Telegraph UK, 7/28/2017",17,
23-Jul-2017,2017,Unprovoked,USA,New Jersey,Ventnor,,F,,Minor injury to hand,N,,SANDTIGER SHARK  2',A. Smith,,SAND
23-Jul-2017,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,Afternoon,BLUE SHARK 6',"Daily Record, 7/24/2017",,BLUE
22-Jul-2017,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,N,12h30,"""A SMALL SHARK""","NBC Miami, 7/23/2017",12,
20-Jul-2017,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,,Foot injured,N,,SHARK INVOLVEMENT NOT CONFIRMED,"C. Creswell, GSAF",,
20-Jul-2017,2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11h20,"WHITE SHARK, 11' TO 13'","R. Collier, GSAF",11,WHITE
20-Jul-2017,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"WHITE SHARK, 8' TO 10'","R. Collier, GSAF",07,WHITE
14-Jul-2017,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,18h30,"WHITE SHARK, 9'","R. Collier, GSAF",18,WHITE
14-Jul-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,11h45,NAN,,11,
11-Jul-2017,2017,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,11h00,WHITE SHARK,"R. Collier, GSAF",11,WHITE
09-Jul-2017,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"BULL SHARK, 4' TO 5'","Miami-Beach Patch, 7/9/2017",15,BULL
Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"TIGER SHARK, 100 KG","Tabasco Hoy, 7/7/2017",,TIGER
07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"WHITE SHARK, 2.5 M","Dispatch Live, 7/7/2027",15,WHITE
02-Jul-2017,2017,Invalid,COMOROS,Anjouan,Moya,Fishing,,,"Skull found in shark, a probable drowning & scavenging",N,,SHARK INVOLVEMENT PRIOR TO DEATH NOT CONFIRMED,"Linfo, 7/3/2017",,
29-Jun-2017,2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",N,19h30,NO SHARK INVOVLEMENT ,"C. Creswell, GSAF",19,
21-Jun-2017,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,Y,,NAN,"C. Creswell, GSAF",,
19-Jun-2017,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,Morning,NAN,"CBS12, 6/19/2017",,
18-Jun-2017,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"BULL SHARK, 4' TO 5'","C. Creswell, GSAF",,BULL
18-Jun-2017,2017,Unprovoked,REUNION,,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"BULL SHARK, 2M","Clincanoo, 6/19/2017",10,BULL
17-Jun-2017,2017,Unprovoked,SPAIN,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,NAN,"Diario de Ibiza, 6/17/'2017",12,
2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,,NAN,"Tahiti Infos, 6/6/2017",,
Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,,,Feeding sharks,F,,Fingernail pulled off ,N,,NAN,"AOL.UK, 6/14/2017",,
11-Jun-2017,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,08h30,"WHITE SHARK, 4 M","WA Today, 6/11/2017",08,WHITE
10-Jun-2017,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,15h45,SEVEN-GILL SHARK,Victoria Shark Reports,15,
10-Jun-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,Y,10h00,NAN,"Daytona Beach News-Journal, 6/10/2017",10,
Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3M SHARK, PROBABLY A SMOOTH HOUND","C. Moore, GSAF",,
